"city","state","zipcode","areacode","FIPS","County","PrefApprovedNot","Type"
"Adams","OK","73901","580","40139","Texas","P","P"
"Adams","OR","97810","541","41059","Umatilla","P",
"Adams","TN","37010","615","47147","Robertson","P",
"Adams","WI","53910","608","55001","Adams","P",
"Adams Basin","NY","14410","585","36055","Monroe","P","P"
"Adams Center","NY","13606","315","36045","Jefferson","P",
"Adams Corners","NY","10579","845","36079","Putnam","N",
"Adams County","OH","45144","937","39001","Adams","A",
"Adams Cove","NY","13634","315","36045","Jefferson","N",
"Adams Gardens","TX","78550","956","48061","Cameron","N",
"Adams Lake","IN","46795","260","18087","Lagrange","N",
"Adams Landing","VT","05458","802","50013","Grand Isle","N",
"Adams Mills","OH","43821","740","39119","Muskingum","A",
"Adams Run","SC","29426","843","45019","Charleston","P",
"Adamsburg","PA","15611","724","42129","Westmoreland","P",
"Adamsdale","PA","17972","570","42107","Schuylkill","N",
"Adamstown","MD","21710","301","24021","Frederick","P",
"Adamstown","PA","19501","717","42071","Lancaster","P","P"
"Adamstown Township","ME","04964","207","23007","Franklin","A","P"
"Adamsville","AL","35005","205","01073","Jefferson","P",
"Adamsville","OH","43802","740","39119","Muskingum","P",
"Adamsville","PA","16110","724","42039","Crawford","P",
"Adamsville","RI","02801","401","44005","Newport","P","P"
"Adamsville","TN","38310","731","47109","McNairy","P",
"Adamsville","UT","84731","435","49001","Beaver","A",
"Adamsville","WV","26431","304","54033","Harrison","A",
"Adaton","MS","39759","662","28105","Oktibbeha","N",
"Adaville","IA","51062","712","19149","Plymouth","N",
"Adco","WA","98851","509","53025","Grant","N",
"Addicks","TX","77079","281","48201","Harris","N",
"Addicks Barker","TX","77084","281","48201","Harris","N",
"Addieville","IL","62214","618","17189","Washington","P",
"Addington","OK","73520","580","40067","Jefferson","P","P"
"Addis","LA","70710","225","22121","West Baton Rouge","P",
"Addisleigh Park","NY","11433","718","36081","Queens","A",
"Addisleigh Park","NY","11434","718","36081","Queens","A",
"Addison","AL","35540","256","01133","Winston","P",
"Addison","IL","60101","630","17043","DuPage","P",
"Addison","ME","04606","207","23029","Washington","P",
"Addison","MI","49220","517","26091","Lenawee","P",
"Addison","NY","14801","607","36101","Steuben","P",
"Addison","PA","15411","814","42111","Somerset","P",
"Addison","TX","75001","972","48113","Dallas","P",
"Addison","VT","05491","802","50001","Addison","A",
"Addison Township","MI","48367","248","26125","Oakland","A",
"Addy","WA","99101","509","53065","Stevens","P",
"Addyston","OH","45001","513","39061","Hamilton","P","P"
"Adel","GA","31620","229","13075","Cook","P",
"Adel","IA","50003","515","19049","Dallas","P",
"Adel","IN","47460","812","18119","Owen","N",
"Adel","OR","97620","541","41037","Lake","P","P"
"Adelaide","CA","93446","805","06079","San Luis Obispo","A",
"Adelaide","WA","98052","425","53033","King","N",
"Adelanto","CA","92301","760","06071","San Bernardino","P",
"Adell","WI","53001","920","55117","Sheboygan","P",
"Adelma Beach","WA","98368","360","53031","Jefferson","N",
"Adelphi","MD","20783","301","24033","Prince Georges","A",
"Adelphi","OH","43101","740","39141","Ross","P","P"
"Adelphia","NJ","07710","732","34025","Monmouth","P","P"
"Aden","IL","62895","618","17191","Wayne","N",
